province,date,year,quarter,month_num,month_name,week,count,surge,is_dry_season,clim_RR,clim_Tavg,clim_RH,clim_ss,lag_1,lag_7,roll_7_mean,roll_14_mean,roll_7_max,surge_lag_1,surge_roll_7
KALIMANTAN BARAT,2024-08-08,2024,3,8,Aug,32,14,0,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,8.0,151.0,97.42857142857143,97.42857142857143,252.0,0.0,0.5714285714285714
KALIMANTAN BARAT,2024-08-09,2024,3,8,Aug,32,46,1,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,14.0,0.0,77.85714285714286,87.0,252.0,0.0,0.42857142857142855
KALIMANTAN BARAT,2024-08-10,2024,3,8,Aug,32,300,1,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,46.0,20.0,84.42857142857143,82.44444444444444,252.0,1.0,0.5714285714285714
KALIMANTAN BARAT,2024-08-11,2024,3,8,Aug,32,69,1,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,300.0,199.0,124.42857142857143,104.2,300.0,1.0,0.7142857142857143
KALIMANTAN BARAT,2024-08-12,2024,3,8,Aug,33,77,1,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,69.0,252.0,105.85714285714286,101.0,300.0,1.0,0.7142857142857143
KALIMANTAN BARAT,2024-08-13,2024,3,8,Aug,33,79,1,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,77.0,52.0,80.85714285714286,99.0,300.0,1.0,0.7142857142857143
KALIMANTAN BARAT,2024-08-14,2024,3,8,Aug,33,184,1,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,79.0,8.0,84.71428571428571,97.46153846153847,300.0,1.0,0.7142857142857143
KALIMANTAN BARAT,2024-08-15,2024,3,8,Aug,33,216,1,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,184.0,14.0,109.85714285714286,103.64285714285714,300.0,1.0,0.8571428571428571
KALIMANTAN BARAT,2024-08-16,2024,3,8,Aug,33,38,1,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,216.0,46.0,138.71428571428572,108.28571428571429,300.0,1.0,1.0
KALIMANTAN BARAT,2024-08-17,2024,3,8,Aug,33,30,0,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,38.0,300.0,137.57142857142858,111.0,300.0,1.0,1.0
KALIMANTAN BARAT,2024-08-18,2024,3,8,Aug,33,81,1,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,30.0,69.0,99.0,111.71428571428571,216.0,0.0,0.8571428571428571
KALIMANTAN BARAT,2024-08-19,2024,3,8,Aug,34,21,0,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,81.0,77.0,100.71428571428571,103.28571428571429,216.0,1.0,0.8571428571428571
KALIMANTAN BARAT,2024-08-20,2024,3,8,Aug,34,16,0,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,21.0,79.0,92.71428571428571,86.78571428571429,216.0,0.0,0.7142857142857143
KALIMANTAN BARAT,2024-08-21,2024,3,8,Aug,34,1,0,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,16.0,184.0,83.71428571428571,84.21428571428571,216.0,0.0,0.5714285714285714
KALIMANTAN BARAT,2024-08-22,2024,3,8,Aug,34,0,0,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,1.0,216.0,57.57142857142857,83.71428571428571,216.0,0.0,0.42857142857142855
KALIMANTAN BARAT,2024-08-23,2024,3,8,Aug,34,0,0,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,0.0,38.0,26.714285714285715,82.71428571428571,81.0,0.0,0.2857142857142857
KALIMANTAN BARAT,2024-08-24,2024,3,8,Aug,34,7,0,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,0.0,30.0,21.285714285714285,79.42857142857143,81.0,0.0,0.14285714285714285
KALIMANTAN BARAT,2024-08-25,2024,3,8,Aug,34,67,1,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,7.0,81.0,18.0,58.5,81.0,0.0,0.14285714285714285
KALIMANTAN BARAT,2024-08-26,2024,3,8,Aug,35,78,1,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,67.0,21.0,16.0,58.357142857142854,67.0,1.0,0.14285714285714285
KALIMANTAN BARAT,2024-08-27,2024,3,8,Aug,35,7,0,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,78.0,16.0,24.142857142857142,58.42857142857143,78.0,1.0,0.2857142857142857
KALIMANTAN BARAT,2024-08-28,2024,3,8,Aug,35,2,0,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,7.0,1.0,22.857142857142858,53.285714285714285,78.0,0.0,0.2857142857142857
KALIMANTAN BARAT,2024-08-29,2024,3,8,Aug,35,0,0,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,2.0,0.0,23.0,40.285714285714285,78.0,0.0,0.2857142857142857
KALIMANTAN BARAT,2024-08-30,2024,3,8,Aug,35,11,0,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,0.0,0.0,23.0,24.857142857142858,78.0,0.0,0.2857142857142857
KALIMANTAN BARAT,2024-08-31,2024,3,8,Aug,35,291,1,1,7.724772400574988,27.32267555904276,82.44252648097293,5.539719837324898,11.0,7.0,24.571428571428573,22.928571428571427,78.0,0.0,0.2857142857142857
KALIMANTAN BARAT,2024-09-01,2024,3,9,Sep,35,1054,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,291.0,67.0,65.14285714285714,41.57142857142857,291.0,1.0,0.42857142857142855
KALIMANTAN BARAT,2024-09-02,2024,3,9,Sep,36,868,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,1054.0,78.0,206.14285714285714,111.07142857142857,1054.0,1.0,0.42857142857142855
KALIMANTAN BARAT,2024-09-03,2024,3,9,Sep,36,2197,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,868.0,7.0,319.0,171.57142857142858,1054.0,1.0,0.42857142857142855
KALIMANTAN BARAT,2024-09-04,2024,3,9,Sep,36,439,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,2197.0,2.0,631.8571428571429,327.35714285714283,2197.0,1.0,0.5714285714285714
KALIMANTAN BARAT,2024-09-05,2024,3,9,Sep,36,73,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,439.0,0.0,694.2857142857143,358.64285714285717,2197.0,1.0,0.7142857142857143
KALIMANTAN BARAT,2024-09-06,2024,3,9,Sep,36,1573,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,73.0,11.0,704.7142857142857,363.85714285714283,2197.0,1.0,0.8571428571428571
KALIMANTAN BARAT,2024-09-07,2024,3,9,Sep,36,455,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,1573.0,291.0,927.8571428571429,476.2142857142857,2197.0,1.0,1.0
KALIMANTAN BARAT,2024-09-08,2024,3,9,Sep,36,136,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,455.0,1054.0,951.2857142857143,508.2142857142857,2197.0,1.0,1.0
KALIMANTAN BARAT,2024-09-09,2024,3,9,Sep,37,0,0,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,136.0,868.0,820.1428571428571,513.1428571428571,2197.0,1.0,1.0
KALIMANTAN BARAT,2024-09-10,2024,3,9,Sep,37,0,0,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,0.0,2197.0,696.1428571428571,507.57142857142856,2197.0,0.0,0.8571428571428571
KALIMANTAN BARAT,2024-09-11,2024,3,9,Sep,37,6,0,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,0.0,439.0,382.2857142857143,507.07142857142856,1573.0,0.0,0.7142857142857143
KALIMANTAN BARAT,2024-09-12,2024,3,9,Sep,37,61,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,6.0,73.0,320.42857142857144,507.35714285714283,1573.0,0.0,0.5714285714285714
KALIMANTAN BARAT,2024-09-13,2024,3,9,Sep,37,529,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,61.0,1573.0,318.7142857142857,511.7142857142857,1573.0,1.0,0.5714285714285714
KALIMANTAN BARAT,2024-09-14,2024,3,9,Sep,37,785,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,529.0,455.0,169.57142857142858,548.7142857142857,529.0,1.0,0.5714285714285714
KALIMANTAN BARAT,2024-09-15,2024,3,9,Sep,37,159,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,785.0,136.0,216.71428571428572,584.0,785.0,1.0,0.5714285714285714
KALIMANTAN BARAT,2024-09-16,2024,3,9,Sep,38,534,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,159.0,0.0,220.0,520.0714285714286,785.0,1.0,0.5714285714285714
KALIMANTAN BARAT,2024-09-17,2024,3,9,Sep,38,355,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,534.0,0.0,296.2857142857143,496.2142857142857,785.0,1.0,0.7142857142857143
KALIMANTAN BARAT,2024-09-18,2024,3,9,Sep,38,25,0,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,355.0,6.0,347.0,364.64285714285717,785.0,1.0,0.8571428571428571
KALIMANTAN BARAT,2024-09-19,2024,3,9,Sep,38,135,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,25.0,61.0,349.7142857142857,335.07142857142856,785.0,0.0,0.8571428571428571
KALIMANTAN BARAT,2024-09-20,2024,3,9,Sep,38,62,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,135.0,529.0,360.2857142857143,339.5,785.0,1.0,0.8571428571428571
KALIMANTAN BARAT,2024-09-21,2024,3,9,Sep,38,75,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,62.0,785.0,293.57142857142856,231.57142857142858,785.0,1.0,0.8571428571428571
KALIMANTAN BARAT,2024-09-22,2024,3,9,Sep,38,105,1,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,75.0,159.0,192.14285714285714,204.42857142857142,534.0,1.0,0.8571428571428571
KALIMANTAN BARAT,2024-09-23,2024,3,9,Sep,39,0,0,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,105.0,534.0,184.42857142857142,202.21428571428572,534.0,1.0,0.8571428571428571
KALIMANTAN BARAT,2024-09-24,2024,3,9,Sep,39,23,0,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,0.0,355.0,108.14285714285714,202.21428571428572,355.0,0.0,0.7142857142857143
KALIMANTAN BARAT,2024-09-25,2024,3,9,Sep,39,0,0,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,23.0,25.0,60.714285714285715,203.85714285714286,135.0,0.0,0.5714285714285714
KALIMANTAN BARAT,2024-09-26,2024,3,9,Sep,39,4,0,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,0.0,135.0,57.142857142857146,203.42857142857142,135.0,0.0,0.5714285714285714
KALIMANTAN BARAT,2024-09-27,2024,3,9,Sep,39,22,0,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,4.0,62.0,38.42857142857143,199.35714285714286,105.0,0.0,0.42857142857142855
KALIMANTAN BARAT,2024-09-28,2024,3,9,Sep,39,31,0,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,22.0,75.0,32.714285714285715,163.14285714285714,105.0,0.0,0.2857142857142857
KALIMANTAN BARAT,2024-09-29,2024,3,9,Sep,39,0,0,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,31.0,105.0,26.428571428571427,109.28571428571429,105.0,0.0,0.14285714285714285
KALIMANTAN BARAT,2024-09-30,2024,3,9,Sep,40,0,0,1,8.449897119341562,27.269048625792813,83.23866044934294,4.648818897637795,0.0,0.0,11.428571428571429,97.92857142857143,31.0,0.0,0.0
KALIMANTAN BARAT,2024-10-01,2024,4,10,Oct,40,0,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,0.0,23.0,11.428571428571429,59.785714285714285,31.0,0.0,0.0
KALIMANTAN BARAT,2024-10-02,2024,4,10,Oct,40,0,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,0.0,0.0,8.142857142857142,34.42857142857143,31.0,0.0,0.0
KALIMANTAN BARAT,2024-10-03,2024,4,10,Oct,40,20,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,0.0,4.0,8.142857142857142,32.642857142857146,31.0,0.0,0.0
KALIMANTAN BARAT,2024-10-04,2024,4,10,Oct,40,3,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,20.0,22.0,10.428571428571429,24.428571428571427,31.0,0.0,0.0
KALIMANTAN BARAT,2024-10-05,2024,4,10,Oct,40,1,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,3.0,31.0,7.714285714285714,20.214285714285715,31.0,0.0,0.0
KALIMANTAN BARAT,2024-10-06,2024,4,10,Oct,40,3,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,1.0,0.0,3.4285714285714284,14.928571428571429,20.0,0.0,0.0
KALIMANTAN BARAT,2024-10-07,2024,4,10,Oct,41,0,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,3.0,0.0,3.857142857142857,7.642857142857143,20.0,0.0,0.0
KALIMANTAN BARAT,2024-10-08,2024,4,10,Oct,41,5,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,0.0,0.0,3.857142857142857,7.642857142857143,20.0,0.0,0.0
KALIMANTAN BARAT,2024-10-09,2024,4,10,Oct,41,7,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,5.0,0.0,4.571428571428571,6.357142857142857,20.0,0.0,0.0
KALIMANTAN BARAT,2024-10-10,2024,4,10,Oct,41,1,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,7.0,20.0,5.571428571428571,6.857142857142857,20.0,0.0,0.0
KALIMANTAN BARAT,2024-10-11,2024,4,10,Oct,41,0,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,1.0,3.0,2.857142857142857,6.642857142857143,7.0,0.0,0.0
KALIMANTAN BARAT,2024-10-12,2024,4,10,Oct,41,2,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,0.0,1.0,2.4285714285714284,5.071428571428571,7.0,0.0,0.0
KALIMANTAN BARAT,2024-10-13,2024,4,10,Oct,41,2,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,2.0,3.0,2.5714285714285716,3.0,7.0,0.0,0.0
KALIMANTAN BARAT,2024-10-14,2024,4,10,Oct,42,1,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,2.0,0.0,2.4285714285714284,3.142857142857143,7.0,0.0,0.0
KALIMANTAN BARAT,2024-10-15,2024,4,10,Oct,42,0,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,1.0,5.0,2.5714285714285716,3.2142857142857144,7.0,0.0,0.0
KALIMANTAN BARAT,2024-10-16,2024,4,10,Oct,42,0,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,0.0,7.0,1.8571428571428572,3.2142857142857144,7.0,0.0,0.0
KALIMANTAN BARAT,2024-10-17,2024,4,10,Oct,42,0,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,0.0,1.0,0.8571428571428571,3.2142857142857144,2.0,0.0,0.0
KALIMANTAN BARAT,2024-10-18,2024,4,10,Oct,42,27,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,0.0,0.0,0.7142857142857143,1.7857142857142858,2.0,0.0,0.0
KALIMANTAN BARAT,2024-10-19,2024,4,10,Oct,42,43,1,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,27.0,2.0,4.571428571428571,3.5,27.0,0.0,0.0
KALIMANTAN BARAT,2024-10-20,2024,4,10,Oct,42,14,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,43.0,2.0,10.428571428571429,6.5,43.0,1.0,0.14285714285714285
KALIMANTAN BARAT,2024-10-21,2024,4,10,Oct,43,1,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,14.0,1.0,12.142857142857142,7.285714285714286,43.0,0.0,0.14285714285714285
KALIMANTAN BARAT,2024-10-22,2024,4,10,Oct,43,26,0,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,1.0,0.0,12.142857142857142,7.357142857142857,43.0,0.0,0.14285714285714285
KALIMANTAN BARAT,2024-10-23,2024,4,10,Oct,43,73,1,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,26.0,0.0,15.857142857142858,8.857142857142858,43.0,0.0,0.14285714285714285
KALIMANTAN BARAT,2024-10-24,2024,4,10,Oct,43,91,1,1,11.75852324521422,27.11316103379722,85.16540755467197,4.437872535534159,73.0,0.0,26.285714285714285,13.571428571428571,73.0,1.0,0.2857142857142857
